Description,Coefficient,SE,t value,P
Intercept,6.5071,0.0328,198.244,0
Bacteria vs archaea,0.1588,0.0375,4.235,2.33130714919235e-05
Aerobic vs anaerobic,0.2998,0.0721,4.16,3.24959023894681e-05
Growth temp,-0.0031,5e-04,-5.982,2.37192541836061e-09
Superkingdom vs oxyagg,-0.1196,0.0755,-1.583,0.113460666368246
Superkingdom vs growth temp,-0.0016,7e-04,-2.328,0.0199346298911339
Oxyagg vs growth temp,-0.0031,0.0016,-1.963,0.0496771494165075
Superkingdom vs oxyagg vs growth temp,0.0013,0.0017,0.786,0.431750587227461
